run,what_is_different,t_start,t_end,outcome,min_lapse,min_chi,max_abs_K,L2_Ham,L2_Mom,sep_start,sep_min,t_sep_min,sep_end,t_common_ah,ah_r_max_incode,group
single_eps_m1e2_t100,"SEED ARM -0.01 (GPU_PLAN.md queue 2, launched 2026-09-10 on the user's word): single_eps_m1e2_t100 -- single_hold_t100 with a declared -1 % push IN on the throat (wormhole_seed_amplitude_A = -0.01); its twin single_eps_p1e2_t100 pushes OUT. Same grid (level 3), same everything: does the sign of the push pick the branch?",0.00,67.57,finished clean at t = 67.57,4.769e-02,3.675e-03,0.032,1.408e-02,1.198e-03,0.06,0.06,0.00,1.81,32.25,6.00,
single_eps_p1e2_t100,"SEED ARM +0.01 (GPU_PLAN.md queue 2, launched 2026-09-10 on the user's word): single_eps_p1e2_t100 -- single_hold_t100 with a declared +1 % push OUT on the throat (wormhole_seed_amplitude_A = +0.01); its twin single_eps_m1e2_t100 pushes IN. Same grid (level 3), same everything: does the sign of the push pick the branch?",0.00,67.27,finished clean at t = 67.27,1.769e-02,1.148e-03,0.238,1.456e-03,1.510e-03,0.06,0.06,0.00,0.06,-,-,
single_eps_m1e3_t100,"V0 ARM (Forward Plan, Phase 2, written 2026-09-08): single_eps_m1e3_t100",0.00,44.17,still running,1.208e-01,6.918e-05,0.037,1.164e-03,1.965e-04,0.06,0.06,0.00,0.23,43.05,2.25,
single_eps_p1e3_t100,"SEED ARM +0.001 (GPU_PLAN.md queue 2, launched 2026-09-10 on the user's word): single_hold_t100 with a declared +0.1 % push OUT on the throat (wormhole_seed_amplitude_A = 0.001); its twin single_eps_m1e3_t100 pushes IN. Same grid (level 3), same everything as the +-0.01 pair, one tenth the amplitude: is the branch point a property of the kick or of the throat? Answer: the pair crosses itself at t = 13.04 against t = 13.01 for +-0.01, so a tenfold change in the kick moves the branch by 0.03 -- the crossing belongs to the throat's own transient.",0.00,40.07,"ran to NaN, not stopped by hand; 95 GB of scratch (40 plotfiles, no checkpoints) left un-pruned",2.648e-01,7.879e-07,0.491,1.306e-03,8.979e-04,0.06,0.06,0.00,0.06,-,-,
stage1_lapse5,"Stage 1: the drainhole's own static lapse (type 5), sigma 2.0, max_level 2 -- ran to t = 40 with the throat destroyed (R 3.89 -> 2.58) while every constraint norm read flat: sigma 2.0 must not ship",0.00,40.00,finished clean at t = 40.00,8.552e-03,1.747e-03,0.144,1.323e-03,1.445e-03,0.12,0.12,0.00,0.18,16.90,3.62,01_single_throat/gauge
stage1_lapse6,"Stage 1: lapse type 6 (the origin-isolating collar), sigma 2.0, max_level 2 -- NaN at t = 21.7",0.00,21.66,NaN at t = 21.66,4.618e-01,1.738e-05,0.251,3.318e-03,2.757e-03,0.12,0.12,0.00,0.64,-,-,01_single_throat/gauge
stage1_lapse5_sg01,"Stage 1: lapse 5, sigma 0.1, max_level 2 -- NaN at t = 24.2 on level 2 with the throat still exact (3.894); the ml2 origin death, later shown to be the grid's",0.00,24.16,NaN at t = 24.16,3.249e-01,3.570e-06,0.519,2.728e-03,3.972e-03,0.12,0.12,0.00,0.51,-,-,01_single_throat/gauge
stage1_lapse6_sg01,"Stage 1: the collar with sigma 0.1, max_level 2 -- NaN at t = 31.4, throat drifted to 3.127: the collar buys 3.5x in survival and costs 20 % on the radius (a finite perturbation of an unstable equilibrium, not a bias)",0.00,31.38,NaN at t = 31.38,1.000e-10,3.335e-05,2.649,1.028e-02,2.355e-02,0.12,0.12,0.00,0.91,-,-,01_single_throat/gauge
stage1_lapse5_sg00,"Stage 1: lapse 5, sigma 0.0, max_level 2 -- never went unstable; the chi-gradient tagger chased the undissipated noise to 1000 grids and 24 % of the domain and the card ran out of memory at t = 35.2 (throat 3.87-3.95); why the campaign moved to fixed and tracked boxes",0.00,35.20,"out of memory at t = 35.20, never unstable",1.299e-01,9.318e-06,2.926,1.130e-01,5.048e-02,0.12,0.12,0.00,0.12,29.50,4.88,01_single_throat/gauge
s1uni128_lapse5_sg01,"Stage 1.4: unigrid control, N = 128 (dx 0.5 at the origin), lapse 5, sigma 0.1 -- NaN at t = 6.6 (K, level 0): removing the refinement makes the origin death 4x earlier",0.00,6.62,NaN at t = 6.62,6.550e-01,2.038e-04,2.052,1.492e-02,6.806e-02,0.50,0.50,0.00,1.00,-,-,01_single_throat/grid
