# Claims ledger, area 'single': the model, the numerical setup, the single wormhole, two throats at rest.
# Columns and rules: claims.py --help.  One row per quantity; list every place the article quotes it in anchors.
# Extractors: claims/extract_single.py (single_*) and lib.py.  Rows whose note starts 'MISMATCH (kept deliberately)'
# or 'NOT TRACED' / 'NO ANCHOR' are findings of the 2026-09-24 ledger pass, not errors of the ledger.
id	tex	num	tol	status	extractor	args	anchors	source	checked	note
# ---- the model (sec:model)
clmThroatA	2	2		def	param	{"run": "single_hold_t100", "key": "wormhole_throat_radius_A"}	he production throat $a=2$, $m=\clmTh || ry}). Unless stated, $a=2$, $m=\clmTh || ull-to-push ratio at $a=2$ is $\clmSi	campaign/01_single_throat/hold/single_hold_t100/evolution_params.txt: wormhole_throat_radius_A		throat scale a of the production throat; every d = 12 pair and the Table I default use the same a; anchors re-cut 2026-09-24 (feedback edits)
clmThroatM	1	1		def	param	{"run": "single_hold_t100", "key": "wormhole_drainhole_mass_A"}	$m=1$ has $R_{\min} || $m=1$ ($R_{\min} || from a throat of mass $1$	campaign/01_single_throat/hold/single_hold_t100/evolution_params.txt: wormhole_drainhole_mass_A		ADM mass of the production throat
clmRstar	3.8895	3.8895		def	single_drainhole	{"quantity": "R_min"}	t5\,e^{\frac12\arctan2}=3.8895$ at $r_t=\t || rainhole holds $R_\star=3.8895$ to $\clmHo	closed form R_min = e^{-u(r_t)} sqrt(a^2+m^2), a and m from the production params		closed form 3.889549; the data read 3.88960 (level 4) and 3.88997 (level 3) at t = 0 (areal_radius.dat); anchors re-cut 2026-09-24 (feedback edits)
clmThroatCoordRadius	1.618	1.618		def	single_drainhole	{"quantity": "r_t"}	$r_t=\tfrac12(1+\sqrt5)=1.618$. The point	closed form r_t = (m + sqrt(m^2+a^2))/2, a and m from the production params		anchors re-cut 2026-09-24 (feedback edits)
clmChiThroatLo	0.15	0.15		def	single_chi_throat_range	{"kind": "min"}	stays in $[0.15,	closed form chi_th = e^{2u} Omega^{-2} at r_t, swept over 0 <= m/a <= 1		0.1515 at m/a = 1 (chi_th falls monotonically with m/a); independent of the pack
clmChiThroatHi	0.25	0.25		def	single_chi_throat_range	{"kind": "max"}	,0.25]$ for	closed form, as clmChiThroatLo		0.25 exactly at m = 0 (the ultrastatic Ellis throat)
clmScalarQ	5	5		def	single_drainhole	{"quantity": "Q"}	+m^2)/m^2>1$ always ($Q=5$ for the pr || rm grav}|=(a^2+m^2)/m^2=5$ is the sca	closed form Q = (a^2+m^2)/m^2, a and m from the production params		anchors re-cut 2026-09-24 (feedback edits)
clmScalarQRatio	3/2	1.5		def	single_drainhole	{"quantity": "Q_ratio"}	$(Q{+}1)/(Q{-}1)=3/2$ || $(Q+1)/(Q-1)=3/2$	closed form (Q+1)/(Q-1) at the production a, m; sign_rule.py Q = 5		
clmSeedArealFactor	2	2		auto	single_seed_areal_factor	{}	a fraction ${\approx}2\varepsilon$	campaign/01_single_throat/seed/single_eps_{m,p}1e2_t100 and hold/single_hold_t100 areal_radius.dat at t = 0		measured (R0(+eps) - R0(-eps)) / (2 eps R0(unkicked)) = 1.996 at eps = 1e-2, level 3
